BLS_YEAR;NUM_PART;SIGLA_PARTIDO;NOME_PARTIDO;CRITERIA;ANO_ELEICAO;SIGLA_BLS;IDEOLOGY;IDEO.SE;IDEO.RAW;imputed
1993;11;PPR;PARTIDO PROGRESSISTA REFORMADOR;MP;1994;PP;0.744057386030387;0.03840832494814535;1.1646308940932577;0
1993;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;MP;1994;PDT;-0.41648797769974766;0.03388047367578763;-0.6353179976037991;0
1993;13;PT;PARTIDO DOS TRABALHADORES;MP;1994;PT;-0.7931093424281263;0.03785637483971588;-1.2443859895829894;0
1993;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;MP;1994;PTB;0.49304759046881863;0.03561696687099119;0.7564359052088342;0
1993;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;MP;1994;MDB;0.00321476929254947;0.0325571035522615;0.01819623696750127;0
1993;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;MP;1994;PSTU;-0.7896439416959068;0.04333174184584296;-1.2319310171678453;0
1993;17;PTRB;PARTIDO TRABALHISTA RENOVADOR BRASILEIRO;"AVERAGE PTB + PL/PR (14;22)";1994;NA;0.5729287100799005;0.036608913085841466;0.8875136310135638;1
1993;20;PSC;PARTIDO SOCIAL CRISTAO;"AVERAGE PTB + PL/PR (14;22)";1994;NA;0.5729287100799005;0.036608913085841466;0.8875136310135638;1
1993;21;PCB;PARTIDO COMUNISTA BRASILEIRO;HL;1994;NA;-0.9067530323840528;0.03918916770072232;-1.4527497763020851;1
1993;22;PL;PARTIDO LIBERAL;MP;1994;PL;0.6528098296909824;0.03760085930069175;1.0185913568182936;0
1993;23;PPS;PARTIDO POPULAR SOCIALISTA;MP;1994;CID;-0.5632020545880596;0.034130969670822;-0.8654195991454294;0
1993;25;PFL;PARTIDO DA FRENTE LIBERAL;MP;1994;DEM;0.6824973117565684;0.03673757969327735;1.067322857883251;0
1993;33;PMN;PARTIDO DA MOBILIZACAO NACIONAL;"AVERAGE PTB + PL/PR (14;22)";1994;NA;0.5729287100799005;0.036608913085841466;0.8875136310135638;1
1993;36;PRN;PARTIDO DA RECONSTRUCAO NACIONAL;MP;1994;PRN;0.876825402114752;0.04042916139193232;1.3877945206709963;0
1993;39;PP;PARTIDO PROGRESSISTA;MP;1994;PPold;0.3559822902148411;0.033785089795887;0.5634928749310456;0
1993;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;MP;1994;PSB;-0.7094472449748995;0.03681361317231011;-1.1171771913273305;0
1993;41;PSD;PARTIDO SOCIAL DEMOCRATICO;"AVERAGE PTB + PL/PR (14;22)";1994;NA;0.5729287100799005;0.036608913085841466;0.8875136310135638;1
1993;43;PV;PARTIDO VERDE;"AVERAGE PDT + PSB (12;40)";1994;NA;-0.5629676113373236;0.035347043424048874;-0.8762475944655648;1
1993;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;"AVERAGE PTB + PL/PR (14;22)";1994;NA;0.5729287100799005;0.036608913085841466;0.8875136310135638;1
1993;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;MP;1994;PSDB;-0.19674109156475375;0.03249119738973447;-0.26178293198478275;0
1993;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL;"AVERAGE PTB + PL/PR (14;22)";1994;NA;0.5729287100799005;0.036608913085841466;0.8875136310135638;1
1993;65;PC DO B;PARTIDO COMUNISTA DO BRASIL;MP;1994;PCDOB;-0.9067530323840528;0.03918916770072232;-1.4527497763020851;0
1993;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;"AVERAGE PTB + PL/PR (14;22)";1994;NA;0.5729287100799005;0.036608913085841466;0.8875136310135638;1
1997;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO;MP;1996;PP;0.8614734616004722;0.04220456335247379;1.437806996111038;0
1997;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;MP;1996;PDT;-0.5099227083821211;0.03451694673139705;-0.7337372825643397;0
1997;13;PT;PARTIDO DOS TRABALHADORES;MP;1996;PT;-0.8469714402760011;0.03979089044228042;-1.2961990484562558;0
1997;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;MP;1996;PTB;0.5855012572293684;0.03821231610741483;0.9696454412458196;0
1997;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;MP;1996;MDB;0.084490323662335165;0.03340802472895381;0.20347868971893376;0
1997;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;HL;1996;NA;-0.9321992680689568;0.04073597116319012;-1.4361952838321197;1
1997;17;PSL;PARTIDO SOCIAL LIBERAL;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;18;PST;PARTIDO SOCIAL TRABALHISTA;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;19;PTN;PARTIDO TRABALHISTA NACIONAL;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;20;PSC;PARTIDO SOCIAL CRISTAO;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;21;PCB;PARTIDO COMUNISTA BRASILEIRO;HL;1996;NA;-0.9321992680689568;0.04073597116319012;-1.4361952838321197;1
1997;22;PL;PARTIDO LIBERAL;MP;1996;PL;0.6417637017875422;0.03790016304368156;1.0592471242859918;0
1997;23;PPS;PARTIDO POPULAR SOCIALISTA;MP;1996;CID;-0.5776449287320156;0.03647410780776922;-0.8419480901154979;0
1997;25;PFL;PARTIDO DA FRENTE LIBERAL;MP;1996;DEM;0.7995378697223148;0.04166359239654565;1.322567966763225;0
1997;26;PAN;PARTIDO DOS APOSENTADOS DA NACAO;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTAO;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;29;PCO;PARTIDO DA CAUSA OPERARIA;HL;1996;NA;-0.9321992680689568;0.04073597116319012;-1.4361952838321197;1
1997;30;PGT;PARTIDO GERAL DOS TRABALHADORES;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;31;PSN;PARTIDO SOLIDARISTA NACIONAL;"AVERAGE PDT + PSB (12;40)";1996;NA;-0.5703302578598807;0.035781752924848934;-0.8362351231181366;1
1997;33;PMN;PARTIDO DA MOBILIZACAO NACIONAL;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;36;PRN;PARTIDO DA RECONSTRUCAO NACIONAL;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;MP;1996;PSB;-0.6307378073376403;0.03704655911830082;-0.9387329636719336;0
1997;41;PSD;PARTIDO SOCIAL DEMOCRATICO;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;43;PV;PARTIDO VERDE;"AVERAGE PDT + PSB (12;40)";1996;NA;-0.5703302578598807;0.035781752924848934;-0.8362351231181366;1
1997;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;MP;1996;PSDB;0.18252543449793143;0.0345099635059163;0.36980110827093254;0
1997;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;65;PC DO B;PARTIDO COMUNISTA DO BRASIL;MP;1996;PCDOB;-0.9321992680689568;0.04073597116319012;-1.4361952838321197;0
1997;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;"AVERAGE PTB + PL/PR (14;22)";1996;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO;MP;1998;PP;0.8614734616004722;0.04220456335247379;1.437806996111038;0
1997;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;MP;1998;PDT;-0.5099227083821211;0.03451694673139705;-0.7337372825643397;0
1997;13;PT;PARTIDO DOS TRABALHADORES;MP;1998;PT;-0.8469714402760011;0.03979089044228042;-1.2961990484562558;0
1997;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;MP;1998;PTB;0.5855012572293684;0.03821231610741483;0.9696454412458196;0
1997;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;MP;1998;MDB;0.084490323662335165;0.03340802472895381;0.20347868971893376;0
1997;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;HL;1998;NA;-0.9321992680689568;0.04073597116319012;-1.4361952838321197;1
1997;17;PSL;PARTIDO SOCIAL LIBERAL;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;18;PST;PARTIDO SOCIAL TRABALHISTA;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;19;PTN;PARTIDO TRABALHISTA NACIONAL;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;20;PSC;PARTIDO SOCIAL CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;21;PCB;PARTIDO COMUNISTA BRASILEIRO;HL;1998;NA;-0.9321992680689568;0.04073597116319012;-1.4361952838321197;1
1997;22;PL;PARTIDO LIBERAL;MP;1998;PL;0.6417637017875422;0.03790016304368156;1.0592471242859918;0
1997;23;PPS;PARTIDO POPULAR SOCIALISTA;MP;1998;CID;-0.5776449287320156;0.03647410780776922;-0.8419480901154979;0
1997;25;PFL;PARTIDO DA FRENTE LIBERAL;MP;1998;DEM;0.7995378697223148;0.04166359239654565;1.322567966763225;0
1997;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;29;PCO;PARTIDO DA CAUSA OPERÁRIA;HL;1998;NA;-0.9321992680689568;0.04073597116319012;-1.4361952838321197;1
1997;30;PGT;PARTIDO GERAL DOS TRABALHADORES;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;31;PSN;PARTIDO DA SOLIDARIEDADE NACIONAL;"AVERAGE PDT + PSB (12;40)";1998;NA;-0.5703302578598807;0.035781752924848934;-0.8362351231181366;1
1997;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;36;PRN;PARTIDO DA RECONSTRUÇÃO NACIONAL;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;MP;1998;PSB;-0.6307378073376403;0.03704655911830082;-0.9387329636719336;0
1997;41;PSD;PARTIDO SOCIAL DEMOCRÁTICO;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;43;PV;PARTIDO VERDE;"AVERAGE PDT + PSB (12;40)";1998;NA;-0.5703302578598807;0.035781752924848934;-0.8362351231181366;1
1997;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;MP;1998;PSDB;0.18252543449793143;0.0345099635059163;0.36980110827093254;0
1997;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
1997;65;PC do B;PARTIDO COMUNISTA DO BRASIL;MP;1998;PCDOB;-0.9321992680689568;0.04073597116319012;-1.4361952838321197;0
1997;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;"AVERAGE PTB + PL/PR (14;22)";1998;NA;0.6136324795084553;0.0380562395755482;1.0144462827659058;1
2001;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO;MP;2000;PP;0.7925851188179445;0.0408298860810618;1.5044429373055654;0
2001;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;MP;2000;PDT;-0.4665159775019451;0.0357288254243529;-0.6585620830554343;0
2001;13;PT;PARTIDO DOS TRABALHADORES;MP;2000;PT;-0.7647546034131166;0.03863545812100031;-1.1940767405697923;0
2001;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;MP;2000;PTB;0.4667734277051066;0.03679281962627434;0.8852678929116795;0
2001;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;MP;2000;MDB;0.16115267699926492;0.03397960443242198;0.401714645661764;0
2001;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;HL;2000;NA;-0.8690282211075437;0.04031657716071409;-1.40056246782812;1
2001;17;PSL;PARTIDO SOCIAL LIBERAL;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;18;PST;PARTIDO SOCIAL TRABALHISTA;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;19;PTN;PARTIDO TRABALHISTA NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;20;PSC;PARTIDO SOCIAL CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;21;PCB;PARTIDO COMUNISTA BRASILEIRO;HL;2000;NA;-0.8690282211075437;0.04031657716071409;-1.40056246782812;1
2001;22;PL;PARTIDO LIBERAL;MP;2000;PL;0.4330784457283188;0.03558684172359482;0.8707724262229155;0
2001;23;PPS;PARTIDO POPULAR SOCIALISTA;MP;2000;CID;-0.3761088480345902;0.03423419785711613;-0.5271521979420293;0
2001;25;PFL;PARTIDO DA FRENTE LIBERAL;MP;2000;DEM;0.7201702715259768;0.03896259933330191;1.3552595963839174;0
2001;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;29;PCO;PARTIDO DA CAUSA OPERÁRIA;HL;2000;NA;-0.8690282211075437;0.04031657716071409;-1.40056246782812;1
2001;30;PGT;PARTIDO GERAL DOS TRABALHADORES;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;"AVERAGE PDT + PSB (12;40)";2000;NA;-0.5357706750100324;0.035933028064736375;-0.7835791964655084;1
2001;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;36;PRN;PARTIDO DA RECONSTRUÇÃO NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;MP;2000;PSB;-0.6050253725181196;0.03613723070511985;-0.9085963098755826;0
2001;41;PSD;PARTIDO SOCIAL DEMOCRÁTICO;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;43;PV;PARTIDO VERDE;"AVERAGE PDT + PSB (12;40)";2000;NA;-0.5357706750100324;0.035933028064736375;-0.7835791964655084;1
2001;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;MP;2000;PSDB;0.1901473388204772;0.03456542696305012;0.44974928620565857;0
2001;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;65;PC do B;PARTIDO COMUNISTA DO BRASIL;MP;2000;PCDOB;-0.8690282211075437;0.04031657716071409;-1.40056246782812;0
2001;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;"AVERAGE PTB + PL/PR (14;22)";2000;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO;MP;2002;PP;0.7925851188179445;0.0408298860810618;1.5044429373055654;0
2001;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;MP;2002;PDT;-0.4665159775019451;0.0357288254243529;-0.6585620830554343;0
2001;13;PT;PARTIDO DOS TRABALHADORES;MP;2002;PT;-0.7647546034131166;0.03863545812100031;-1.1940767405697923;0
2001;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;MP;2002;PTB;0.4667734277051066;0.03679281962627434;0.8852678929116795;0
2001;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;MP;2002;MDB;0.16115267699926492;0.03397960443242198;0.401714645661764;0
2001;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;HL;2002;NA;-0.8690282211075437;0.04031657716071409;-1.40056246782812;1
2001;17;PSL;PARTIDO SOCIAL LIBERAL;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;18;PST;PARTIDO SOCIAL TRABALHISTA;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;19;PTN;PARTIDO TRABALHISTA NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;20;PSC;PARTIDO SOCIAL CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;21;PCB;PARTIDO COMUNISTA BRASILEIRO;HL;2002;NA;-0.8690282211075437;0.04031657716071409;-1.40056246782812;1
2001;22;PL;PARTIDO LIBERAL;MP;2002;PL;0.4330784457283188;0.03558684172359482;0.8707724262229155;0
2001;23;PPS;PARTIDO POPULAR SOCIALISTA;MP;2002;CID;-0.3761088480345902;0.03423419785711613;-0.5271521979420293;0
2001;25;PFL;PARTIDO DA FRENTE LIBERAL;MP;2002;DEM;0.7201702715259768;0.03896259933330191;1.3552595963839174;0
2001;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;29;PCO;PARTIDO DA CAUSA OPERÁRIA;HL;2002;NA;-0.8690282211075437;0.04031657716071409;-1.40056246782812;1
2001;30;PGT;PARTIDO GERAL DOS TRABALHADORES;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;31;PHS;PARTIDO DA HUMANISTA DA SOLIDARIEDADE;"AVERAGE PDT + PSB (12;40)";2002;NA;-0.5357706750100324;0.035933028064736375;-0.7835791964655084;1
2001;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;36;PTC;PARTIDO TRABALHISTA CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;MP;2002;PSB;-0.6050253725181196;0.03613723070511985;-0.9085963098755826;0
2001;41;PSD;PARTIDO SOCIAL DEMOCRÁTICO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;43;PV;PARTIDO VERDE;"AVERAGE PDT + PSB (12;40)";2002;NA;-0.5357706750100324;0.035933028064736375;-0.7835791964655084;1
2001;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;MP;2002;PSDB;0.1901473388204772;0.03456542696305012;0.44974928620565857;0
2001;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;65;PC do B;PARTIDO COMUNISTA DO BRASIL;MP;2002;PCDOB;-0.8690282211075437;0.04031657716071409;-1.40056246782812;0
2001;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2005;11;PP;PARTIDO PROGRESSISTA;MP;2004;PP;0.6908803445167995;0.0433653887874696;1.1490367351478716;0
2005;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;MP;2004;PDT;-0.31235058789091724;0.03858167250086757;-0.3991393329660623;0
2005;13;PT;PARTIDO DOS TRABALHADORES;MP;2004;PT;-0.4714807256898452;0.03927979110719337;-0.5928695017355247;0
2005;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;MP;2004;PTB;0.40219969288268825;0.03903155306370766;0.7200037859997914;0
2005;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;MP;2004;MDB;0.14731615687538585;0.03674902881110708;0.34184571686663834;0
2005;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;HL;2004;NA;-0.6928309803776889;0.04157114235734514;-0.9840159212347114;1
2005;17;PSL;PARTIDO SOCIAL LIBERAL;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;19;PTN;PARTIDO TRABALHISTA NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;20;PSC;PARTIDO SOCIAL CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;21;PCB;PARTIDO COMUNISTA BRASILEIRO;HL;2004;NA;-0.6928309803776889;0.04157114235734514;-0.9840159212347114;1
2005;22;PL;PARTIDO LIBERAL;MP;2004;PL;0.44199265377114616;0.04024768050716464;0.7853260087096535;0
